pdf_name,url,category,priority_tier,control_pdfua,control_wcag,our_pdfua,our_wcag,overall_result,failure_summary
Hsbc Uk Esg Directory?Header,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?header,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Esg Directory?Link=Carbon,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?link=carbon,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Esg Directory?Link=Supply,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?link=supply,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
8 Steps To Make Your Business More Inclusive And Diverse,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/8-steps-to-make-your-business-more-inclusive-and-diverse.pdf,Campaigns,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Digital Wallet For Company Card Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/digital-wallet-for-company-card-additional-conditions.pdf?download=1,Articles,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
E Wallet For Corporate Cards Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/e-wallet-for-corporate-cards-additional-conditions.pdf?download=1,Articles,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
E Wallet For Hsbc Kinetic Credit Card Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/e-wallet-for-hsbc-kinetic-credit-card-additional-conditions.pdf?download=1,Articles,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Glimpse Into The Future,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/glimpse-into-the-future.pdf,Campaigns,Tier 3,,,Fail,Pending Adobe,FAIL,"Figure alt text present, At least one heading present, Document title present, Bookmarks present when required, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsb Cmblit374 01 Wa Corporate Cards Privacy Notice,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsb-cmblit374-01-wa-corporate-cards-privacy-notice.pdf,Solutions,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Esg Directory?Link=Footer,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?link=footer,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Esg Directory?Strategy,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?strategy,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Managing Money With Dementia,https://www.hsbc.co.uk/content/dam/hsbc/gb/pdf/help-and-support/managing-money-with-dementia.pdf,Help & Support,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Mandate For General Organisations,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-for-general-organisations.pdf,Forms,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
240221 Annual Report And Accounts 2023,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2023/annual/pdfs/hsbc-uk-bank-plc/240221-annual-report-and-accounts-2023.pdf,Hsbc-Uk-Bank-Plc,Tier 3,,,Fail,Pending Adobe,FAIL,"Figure alt text present, At least one heading present, Document language present, Bookmarks present when required, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Banking Terms And Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-banking-terms-and-conditions.pdf,Regulations,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Internet Banking Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/business-internet-banking-additional-conditions.pdf,Campaigns,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Commercial Card Agreement Terms,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/commercial-card-agreement-terms.pdf,General,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
E Wallet For Hsbc Kinetic Credit Card Hsb Cmblit359 Wa,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/e-wallet-for-hsbc-kinetic-credit-card-hsb-cmblit359-wa.pdf,Solutions,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
