PDF Name,URL,Category,Total Traffic,Priority Tier,Axes Audit Status,Date Audited,PDF/ UA Reults,WCAG Reults,Link to Audit report,PDF/UA Notes,WCAG Notes,Remediation Status,Adobe Acrobat Audit Status,Remediation Notes,Re-test Result,Link to Audit report,3rd Re-test Result,Link to Audit report
Hsbc Virtual Card Factsheet,Open PDF,Products,302,Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/04ebbacb-8137-4e9a-96c7-2679f357142b,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Business Loan Direct Debit Mandate,Open PDF,General,290,Tier 2,Blocked,30/03/2026,Partial,Partial,https://check.axes4.com/en/result/b1ccaaf6-3a55-473d-9191-f7f1587b9fcd,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Aged Debtor Report Template,Open PDF,GIB/RF/IIF,277,Tier 2,Blocked,31/03/2026,Fail,Fail,XLS File,XLS File,XLS File,Not Started,Not Started,,,,,
Collect Instruction,Open PDF,GIB/RF/IIF,257,Tier 2,Complete,31/03/2026,Fail,Fail,https://check.axes4.com/en/result/7542a859-8e3a-4b92-9362-1a31f472bc80,8 content items not properly tagged,8 structure/tagging failures (1.3 Adaptable),Not Started,Not Started,,,,,
Business Money Manager Community Savings Account,Open PDF,General,255,Tier 2,Complete,31/03/2026,Pass,Pass,https://check.axes4.com/en/result/8638ca8d-74cc-40c2-a0cd-ce23e80c39d6,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Business Money Market Account Additional Condition,Open PDF,General,253,Tier 2,Complete,31/03/2026,Pass,Pass,https://check.axes4.com/en/result/ded648d2-672f-419e-baa4-9bb3accbab22,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Business Telephone Banking Additional Conditions,Open PDF,Regulations,240,Tier 2,Complete,31/03/2026,Partial,Partial,https://check.axes4.com/en/result/f3a776d6-a507-47a3-ba72-fb92f35640e0,"48 structure tree warnings
","48 structure tree warnings
",Not Started,Not Started,,,,,
Hsbc Current Account Switch Guide,Open PDF,Products,240,Tier 2,Complete,31/03/2026,Fail,Fail,https://check.axes4.com/en/result/35bcee4b-a503-4ae9-967f-c59774abd7d5,"3 content items not properly tagged
2 metadata failures
1 document settings failure

","3 structure/tagging failures (1.3 Adaptable)
2 navigation failures (2.4 Navigable)",Not Started,Not Started,,,,,
State Recon Guide.Xls,Open PDF,GIB/RF/IIF,238,Tier 2,Blocked,31/03/2026,Partial,Partial,XLS File,XLSx File,XLS File,Not Started,Not Started,,,,,
Asset Finance Product Guide 2024 Final,Open PDF,Products,230,Tier 2,Complete,31/03/2026,Fail,Fail,https://check.axes4.com/en/result/b7f9fefc-c1a0-457d-ba7b-307a37661a31,"38 content items not properly tagged
2 structure tree warnings
2 alternative description failures + 8 warnings
2 metadata failures
1 document settings failure","2 missing alt text + 8 warnings (1.1 Text Alternatives)
38 structure/tagging failures (1.3 Adaptable)
44 colour contrast failures (1.4 Distinguishable)
2 navigation failures (2.4 Navigable)
2 compatibility warnings (4.1 Compatible)",Not Started,Not Started,,,,,
Hsb Cmblit288 Wa,Open PDF,Generic,230,Tier 2,Complete,31/03/2026,Pass,Pass,https://check.axes4.com/en/result/0ca41a5d-8351-4ae1-8051-0a668db55369,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Dp270 Setup Business User Guide,Open PDF,Campaigns,227,Tier 2,Blocked,31/03/2026,Partial,Partial,,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Receive Aus Factsheet Global Wallet V2,Open PDF,Solutions,223,Tier 2,Blocked,31/03/2026,Partial,Partial,https://check.axes4.com/en/result/6cf153bf-b0ef-4f0f-be78-223a55a42ee7,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Business Notice Account Additional Conditions,Open PDF,Regulations,218,Tier 2,Complete,31/03/2026,Pass,Pass,https://check.axes4.com/en/result/e596c03f-3ea5-44ad-b588-490b010899da,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
